pond,date,N_Number,chloride_mgL,sulfate_mgL
OPP-E,2021-06-02,1,7.44,4.38
OPP-W,2021-06-02,2,58.29,14.68
DOBA7,2021-06-02,3,120.37,6.69
LM-ARB,2021-06-03,4,176.26,6.19
UM-ARB,2021-06-03,5,172.14,6.83
DOBA5,2021-06-07,6,74.04,3.46
DOBA4,2021-06-07,7,53.71,2.53
CAP,2021-06-07,8,53.69,3.07
ALC,2021-06-08,9,361.46,1.99
ELV,2021-06-08,10,127.73,5.27
DCSW1,2021-06-09,11,41.9,4.61
DCSW2,2021-06-09,12,75.75,14.35
DCSW3,2021-06-09,13,81.88,13.59
DOBA8,2021-06-10,14,49.86,2.74
MDT,2021-06-10,15,63.5,2.86
HP-UW,2021-06-10,16,272.9,36.59
L60-UW,2021-06-11,17,295.84,1.91
KP,2021-06-11,18,21.47,1.22
O-S,2021-06-11,19,97.65,13.43
O-N,2021-06-11,20,85.47,18.76
OPP-E,2021-06-14,21,8.29,3.9
OPP-W,2021-06-14,22,65.18,5.29
DOBA7,2021-06-14,23,142.71,7.49
ALC,2021-06-15,24,386.05,1.83
LM-ARB,2021-06-15,25,189.04,4.55
UM-ARB,2021-06-15,26,187.96,5.8
DOBA5,2021-06-16,27,71.95,3.74
CAP,2021-06-16,28,59.7,2.62
DOBA4,2021-06-16,29,61.42,2.6
DOBA8,2021-06-17,30,51.11,2.84
MDT,2021-06-17,31,70.13,2.51
ELV,2021-06-17,32,130.68,5.27
L60-UW,2021-06-18,33,39.75,5.25
HP-UW,2021-06-18,34,67.36,9.86
DCSW3,2021-06-21,35,52.33,8.23
DCSW2,2021-06-21,36,44.39,7.31
DCSW1,2021-06-21,37,24.08,3.22
O-N,2021-06-22,38,49.46,11.55
O-S,2021-06-22,39,62.53,10.15
KP,2021-06-22,40,20.77,0.87
OPP-W,2021-06-29,41,10.47,1.96
OPP-E,2021-06-29,42,11.3,7.1
DOBA7,2021-06-29,43,34.51,3.69
HP-UW,2021-06-29,44,62.5,8.52
DOBA8,2021-06-30,45,10.22,1.71
ELV,2021-06-30,46,48.42,2.54
MDT,2021-06-30,47,15.47,1.83
UM-ARB,2021-06-30,48,55.64,2.7
LM-ARB,2021-06-30,49,55.9,2.98
DCSW2,2021-07-01,50,27.48,5.05
DCSW1,2021-07-01,51,28.72,4.86
CAP,2021-07-01,52,7.16,1.54
DOBA4,2021-07-01,53,10.71,1.4
DCSW3,2021-07-01,54,14.96,2.26
DOBA5,2021-07-01,55,15.99,1.6
O-N,2021-07-01,56,54.94,11.95
O-S,2021-07-01,57,55.93,8.9
KP,2021-07-02,58,16.68,0.82
L60-UW,2021-07-02,59,84.17,1.88
ALC,2021-07-02,60,149.21,2.14
DOBA7,2021-07-12,61,40.72,4.15
OPP-W,2021-07-12,62,8.95,1.11
OPP-E,2021-07-12,63,10.95,5.1
LM-ARB,2021-07-13,64,50.27,5.01
UM-ARB,2021-07-13,65,53.51,5.08
L60-UW,2021-07-13,66,83.44,1.42
O-S,2021-07-14,67,63.43,10.49
O-N,2021-07-14,68,54.84,13.54
KP,2021-07-14,69,16.95,0.98
CAP,2021-07-16,70,8.58,1.48
DOBA4,2021-07-16,71,8.12,1.69
DOBA5,2021-07-16,72,12.72,1.65
DCSW3,2021-07-19,73,36.48,5.98
DCSW1,2021-07-19,74,19.06,3.05
DCSW2,2021-07-19,75,34.83,6.56
MDT,2021-07-20,76,11.61,1.76
DOBA8,2021-07-20,77,8.04,1.39
ELV,2021-07-20,78,36.68,2.21
ALC,2021-07-21,79,142.74,2.31
HP-UW,2021-07-21,80,210.63,28.75
UM-ARB,2021-08-02,81,40.08,6.73
LM-ARB,2021-08-02,82,37.01,5.53
ALC,2021-08-02,83,190.63,1.66
OPP-E,2021-08-03,84,11.95,4.48
OPP-W,2021-08-03,85,6.25,1.55
DOBA7,2021-08-03,86,39.18,3.95
ELV,2021-08-03,87,36.25,1.57
KP,2021-08-03,88,17.43,0.96
O-N,2021-08-03,89,54.43,12.46
O-S,2021-08-03,90,52.19,10.09
DCSW1,2021-08-04,91,18.7,3.07
DCSW2,2021-08-04,92,41.49,8.47
DCSW3,2021-08-04,93,42.71,6.52
DOBA4,2021-08-04,94,8.82,1.85
DOBA5,2021-08-04,95,13.9,1.62
CAP,2021-08-04,96,8.17,1.88
L60-UW,2021-08-05,97,94.74,1.74
HP-UW,2021-08-05,98,217.02,28.74
DOBA8,2021-08-05,99,6.27,1.83
MDT,2021-08-05,100,9.45,2.1
HP-UW,2022-01-12,101,364.4,41.44
OPP-W,2022-01-12,102,16.58,4.66
OPP-E,2022-01-12,103,8.26,4.47
UM-ARB,2022-01-12,104,107.46,16.27
LM-ARB,2022-01-12,105,109.63,16.32
ALC,2022-01-13,106,298.58,7.73
DOBA5,2022-01-13,107,20.04,2.29
DOBA4,2022-01-13,108,20.49,2.3
DCSW3,2022-01-13,109,7.76,5.91
DCSW1,2022-01-13,110,41.63,12.66
DCSW2,2022-01-13,111,48.73,14.62
CAP,2022-01-13,112,17.33,2.96
L60-UW,2022-01-13,113,65.73,5.32
ELV,2022-01-14,114,27.29,3.95
DOBA7,2022-01-14,115,202.35,5.5
MDT,2022-01-14,116,19.73,3.43
DOBA8,2022-01-14,117,14.64,3.83
O-S,2022-01-14,118,63.95,8.73
O-N,2022-01-14,119,52.07,15.93
KP,2022-01-14,120,29.72,1.11
ALC,2022-01-27,121,384.66,7.32
DOBA5,2022-01-27,122,22.22,2.05
DOBA4,2022-01-27,123,23.75,2.15
DCSW3,2022-01-27,124,9.4,5.77
DCSW2,2022-01-27,125,52.59,14.11
DCSW1,2022-01-27,126,47.03,12.89
CAP,2022-01-27,127,35.52,2.59
ELV,2022-01-30,128,27.57,3.25
MDT,2022-01-30,129,28.31,3.66
DOBA8,2022-01-30,130,22.71,5.14
O-S,2022-01-30,131,65.88,11.05
O-N,2022-01-30,132,63.02,19.1
KP,2022-01-30,133,43.66,0.94
OPP-W,2022-01-31,134,44.86,7.21
OPP-E,2022-01-31,135,8.25,3.49
DOBA7,2022-01-31,136,295.189,7.15
HP-UW,2022-01-31,137,342.84,41.27
L60-UW,2022-01-31,138,93.96,4.49
UM-ARB,2022-01-31,139,132.63,19.7
LM-ARB,2022-01-31,140,138.65,20.38
ALC,2022-02-09,141,430.87,4.66
DCSW1,2022-02-09,142,47.51,12.93
DCSW3,2022-02-09,143,14.18,5.83
DCSW2,2022-02-09,144,54.97,14.31
DOBA4,2022-02-09,145,27.71,1.78
DOBA5,2022-02-09,146,23.11,1.75
CAP,2022-02-09,147,136.75,3.91
HP-UW,2022-02-09,148,321.97,39.95
L60-UW,2022-02-09,149,114.71,3.87
O-S,2022-02-10,150,67.78,10.1
O-N,2022-02-10,151,56.25,17.31
DOBA8,2022-02-10,152,24.71,4.9
MDT,2022-02-10,153,37.7,4.09
ELV,2022-02-10,154,26.38,3.49
KP,2022-02-10,155,50.08,1.05
DOBA7,2022-02-11,156,370.68,7.34
OPP-E,2022-02-11,157,9.52,2.41
OPP-W,2022-02-11,158,46.68,5.82
UM-ARB,2022-02-11,159,208.44,22.91
LM-ARB,2022-02-11,160,183.91,22.24