season,pond,SRP,NH4,NO2_NO3,,,,,,
summer,ALC,26.8,13.5,1.7,,winter,ALC,5.7,153.6,10.0
summer,CAP,11.0,24.3,0.3,,winter,CAP,108.6,23.3,3.7
summer,DCSW1,30.7,17.0,30.0,,winter,DCSW1,3.6,199.3,32.4
summer,DCSW2,16.5,17.7,85.0,,winter,DCSW2,9.3,280.2,109.2
summer,DCSW3,41.6,34.2,26.9,,winter,DCSW3,7.2,96.3,88.1
summer,DOBA4,7.0,24.8,1.7,,winter,DOBA4,28.7,36.4,18.3
summer,DOBA5,13.2,431.5,37.0,,winter,DOBA5,75.3,608.6,6.5
summer,DOBA7,7.2,32.6,23.1,,winter,DOBA7,4.0,186.3,121.5
summer,DOBA8,13.7,33.1,6.0,,winter,DOBA8,28.4,598.2,116.8
summer,ELV,14.8,27.5,24.1,,winter,ELV,16.9,73.0,79.8
summer,HP-UW,2.6,99.0,874.9,,winter,HP-UW,0.9,63.8,1728.4
summer,KP,65.5,13.4,1.8,,winter,KP,29.5,938.1,12.6
summer,L60-UW,18.3,104.6,1.6,,winter,L60-UW,8.1,18.7,14.7
summer,LM-ARB,18.1,25.5,5.2,,winter,LM-ARB,7.8,518.6,85.3
summer,MDT,10.0,8.0,9.2,,winter,MDT,19.1,58.9,13.4
summer,O-N,5.0,12.4,1.9,,winter,O-N,1.7,55.0,1061.7
summer,O-S,8.5,8.6,2.1,,winter,O-S,3.4,28.0,249.6
summer,OPP-E,11.1,23.9,3.2,,winter,OPP-E,28.8,836.7,32.3
summer,OPP-W,45.7,32.9,6.3,,winter,OPP-W,46.7,278.1,27.5
summer,UM-ARB,17.4,19.0,1.8,,winter,UM-ARB,7.4,404.1,146.2