Site.Code,Pond.Type,Source,Developed200m,Forest200m,Wetlands200m,Lawn200m,HerbScrub200m,Water200m,Developed500m,Forest500m,Wetlands500m,Lawn500m,HerbScrub500m,Water500m,Barren.Land.1000m,Cultivated.Crops.1000m,Deciduous.Forest.1000m,Developed.High.Intensity.1000m,Developed.Low.Intensity.1000m,Developed.Medium.Intensity.1000m,Developed.Open.Space.1000m,Emergent.Herbaceuous.Wetlands.1000m,Evergreen.Forest.1000m,Hay.Pasture.1000m,Herbaceuous.1000m,Mixed.Forest.1000m,Open.Water.1000m,Shrub.Scrub.1000m,Woody.Wetlands.1000m,Developed1000m,Forest1000m,Wetlands1000m,Lawn1000m,HerbScrub1000m,Water1000m,Easting,Northing,Pond.Made,Pond.Age,Origin,Lat,Long
ALC,Urban,Stormwater,0.820143885,0,0.09352518,0.086330935,0,0,0.629885057,0.157471264,0.08045977,0.050574713,0.035632184,0.045977011,0.00114482,0.007727533,0.074699485,0.162278191,0.194046938,0.18374356,0.088437321,0.01688609,0.001431025,0.058672009,0.002862049,0.040927304,0.160847167,0,0.006296508,0.540068689,0.117057813,0.023182599,0.088437321,0.069261591,0.160847167,306538.9061,4768718.054,1974,47,Wetland,"43.04651292	-89.37525752",
CAP,Urban,Stormwater,0.905797101,0,0,0.094202899,0,0,0.804822044,0,0,0.114810563,0.080367394,0,0,0.012048193,0.011187608,0.025243832,0.445783133,0.213711991,0.140849111,0,0.001434309,0.110728629,0,0.03643144,0,0.002581756,0,0.684738956,0.049053356,0,0.140849111,0.125358577,0,313025.8164,4775269.253,1995,26,New,43.10708366,-89.29787954
DCSW2,Rural,Stormwater,0.079136691,0,0.294964029,0.071942446,0.438848921,0.100719424,0.137457045,0.145475372,0.21534937,0.10882016,0.369988545,0.019473081,0.001147776,0.351506456,0.041606887,0.012625538,0.091535151,0.092969871,0.08866571,0.086370158,0,0.181922525,0.001721664,0.033572453,0.004878049,0,0.011477762,0.19713056,0.07517934,0.09784792,0.08866571,0.535150646,0.004878049,316778.1829,4774004.149,2005,16,New,43.09661685,-89.25138149
DOBA4,Urban,Stormwater,0.507142857,0,0,0.142857143,0.35,0,0.528604119,0,0,0.129290618,0.342105263,0,0,0.128727064,0.013761468,0.005447248,0.270355505,0.233084862,0.164277523,0.00516055,0,0.156823394,5.73E-04,0.020928899,8.60E-04,0,0,0.508887615,0.034690367,0.00516055,0.164277523,0.286123853,8.60E-04,315554.0217,4773597.171,2000,21,New,43.09265805,-89.26627707
DOBA5,Urban,Stormwater,0.690647482,0.057553957,0,0.151079137,0.100719424,0,0.593570608,0.057405281,0,0.130884041,0.177956372,0,0.040676024,0.132340304,0.056717273,0.019192209,0.363219708,0.136350616,0.150100258,5.73E-04,0,0.06559725,0,0.031223145,0,2.86E-04,0.003723861,0.518762532,0.087940418,0.004296763,0.150100258,0.198224005,0,314406.3454,4771663.632,1995,26,New,"43.07498036	-89.27972208",
DOBA7,Green Space,Stormwater,0.442028986,0,0,0.152173913,0.333333333,0.072463768,0.811858609,0.006841505,0,0.088939567,0.0672748,0.025085519,8.60E-04,2.87E-04,0.002293578,0.22190367,0.273222477,0.32912844,0.125,0,0,0.016055046,8.60E-04,0.023795872,0.006594037,0,0,0.824254587,0.02608945,0,0.125,0.017201835,0.006594037,296466.7461,4770504.468,1995,26,Drainage,43.05995178,-89.49946121
DOBA8,Urban,Stormwater,0.553191489,0,0,0.04964539,0.397163121,0,0.483390607,0.012600229,0,0.042382589,0.458190149,0.001145475,0.001148765,0.410109133,0.069500287,0.006031017,0.151062608,0.16053992,0.075531304,5.74E-04,2.87E-04,0.078690408,5.74E-04,0.037622056,0.00689259,0.001435956,0,0.317633544,0.107409535,5.74E-04,0.075531304,0.490809879,0.00689259,294525.358,4768146.273,2000,21,New,43.03821381,-89.52240961
ELV,Green Space,Stormwater,0.34057971,0.166666667,0,0.108695652,0.347826087,0.036231884,0.291618829,0.272101033,0,0.049368542,0.381171068,0.005740528,5.73E-04,0.051590714,0.081398682,0.006018917,0.296073373,0.1501863,0.102894812,5.73E-04,0.014044139,0.192032101,0.00114646,0.085697908,0.010891373,0.006878762,0,0.45227859,0.181140728,5.73E-04,0.102894812,0.251648037,0.010891373,295971.6796,4768080.825,1987,34,New,43.03801484,-89.50464724
HP-UW,Urban,Stormwater,1,0,0,0,0,0,0.684210526,0.012585812,0.060640732,0.060640732,0.115560641,0.065217391,2.87E-04,0.004878049,0.01348637,0.096700143,0.237302726,0.230989957,0.099856528,0.024964132,0,0.064849354,2.87E-04,0.070014347,0.152080344,0.001721664,0.002582496,0.564992826,0.083500717,0.027546628,0.099856528,0.071736011,0.152080344,302244.649,4772395.362,1995,26,New,43.07849119,-89.42924194
KP,Green Space,Stormwater,0.402877698,0.035971223,0,0.561151079,0,0,0.507428571,0.202285714,0,0.286857143,0.003428571,0,0,0,0.065385718,0.011471179,0.363062805,0.05391454,0.213077144,0.001147118,0.022655578,0.029825065,2.87E-04,0.186980212,0.048752509,0,0.003441354,0.428448523,0.275021508,0.004588471,0.213077144,0.030111844,0.048752509,298191.1869,4772726.552,1937,84,Pond,43.08040326,-89.47911001
L60-UW,Urban,Stormwater,0.503597122,0,0.172661871,0.028776978,0.071942446,0.223021583,0.386285714,0.036571429,0.091428571,0.089142857,0.062857143,0.333714286,2.87E-04,0.00544881,0.018640665,0.082018927,0.137654144,0.179237167,0.084026384,0.028677947,2.87E-04,0.092342988,2.87E-04,0.079437912,0.2793232,0.001720677,0.01061084,0.398910238,0.098365357,0.039288787,0.084026384,0.099799254,0.2793232,302435.0186,4772683.368,2014,7,Wetland,"43.08113195	-89.42700781",
LM-ARB,Green Space,Stormwater,0,0,0.863309353,0.122302158,0,0.014388489,0.130884041,0.03673938,0.50401837,0.31228473,0,0.016073479,0,0.008018328,0.079896907,0.001145475,0.243413517,0.021477663,0.296678121,0.06443299,0,0.044959908,0.001431844,0.018613975,0.082760596,0,0.137170676,0.266036655,0.098510882,0.201603666,0.296678121,0.05441008,0.082760596,301641.0561,4768927.727,1995,26,New,43.04713585,-89.43541403
MDT,Rural,Stormwater,0.3,0.028571429,0,0.064285714,0.585714286,0.007142857,0.324942792,0.026315789,0,0.036613272,0.607551487,0.001144165,8.59E-04,0.440881764,0.043229316,0.005725737,0.164328657,0.16318351,0.096478672,0,2.86E-04,0.048668766,2.86E-04,0.034354423,2.86E-04,0.001431434,0,0.333237904,0.077870026,0,0.096478672,0.491268251,2.86E-04,294128.1195,4768064.858,2005,16,Drainage,43.03737383,-89.5272514
O-N,Green Space,Stormwater,0.115107914,0,0.510791367,0.014388489,0.316546763,0.043165468,0.320689655,0.004597701,0.356321839,0.083908046,0.225287356,0.009195402,0,0.060961649,0.040927304,0.006010303,0.251287922,0.0930166,0.082427018,0.22323984,0,0.142243847,0.002003434,0.058099599,0.006868918,0.002575844,0.030337722,0.350314825,0.099026903,0.253577562,0.082427018,0.207784774,0.006868918,298343.5212,4776965.792,2000,21,New,43.11858208,-89.47877933
O-S,Green Space,Stormwater,0.143884892,0,0.388489209,0.014388489,0.417266187,0.035971223,0.336009174,0.068807339,0.324541284,0.065366972,0.194954128,0.010321101,0,0.036665712,0.028072186,0.005729017,0.303065024,0.117444858,0.084503008,0.221712976,0,0.103122315,0.002291607,0.055285019,0.006874821,2.86E-04,0.034947007,0.4262389,0.083357204,0.256659983,0.084503008,0.142366084,0.006874821,298410.185,4776771.644,2000,21,New,43.11685318,-89.47789012
OPP-E,Green Space,Stormwater,0.212765957,0.602836879,0,0.106382979,0.078014184,0,0.35706085,0.450057405,0,0.145809414,0.047072331,0,0,0,0.127970226,0.007157171,0.468079015,0.091039221,0.174634984,0,8.59E-04,0.034068136,0,0.093615803,2.86E-04,0.002290295,0,0.566275408,0.22244489,0,0.174634984,0.036358431,2.86E-04,297498.8439,4771445.348,2010,11,New,43.06869243,-89.48714077
OPP-W,Green Space,Stormwater,0.352517986,0.381294964,0,0.244604317,0.021582734,0,0.407110092,0.385321101,0,0.169724771,0.037844037,0,0,0,0.126683864,0.006878762,0.463456578,0.092863285,0.185439954,0,0.001433075,0.029234738,0,0.091430209,2.87E-04,0.002292921,0,0.563198624,0.219547148,0,0.185439954,0.031527658,2.87E-04,297398.4688,4771445.95,2010,11,New,43.06867106,-89.48837267
UM-ARB,Green Space,Stormwater,0.268115942,0,0.492753623,0.210144928,0,0.028985507,0.324137931,0,0.33908046,0.332183908,0,0.004597701,0,8.58E-04,0.035765379,0.001144492,0.312160229,0.02546495,0.335908441,0.057224607,0,0.038912732,0.001430615,0.010586552,0.058941345,0,0.121602289,0.338769671,0.046351931,0.178826896,0.335908441,0.041201717,0.058941345,301447.1351,4768987.484,2014,7,Drainage,,