pond,date,depth,dissolvedCO2,dissolvedCH4,dissolvedN2O
HP-UW,2022-01-12,Surface,0.000109,3.66E-06,8.96E-08
HP-UW,2022-01-12,Surface,8.64E-05,2.32E-06,6.77E-08
HP-UW,2022-01-12,Surface,0.000113,3.62E-06,9.28E-08
LM-ARB,2022-01-12,Surface,0.000524,5.28E-06,3.40E-08
LM-ARB,2022-01-12,Surface,0.000434,2.71E-06,3.59E-08
LM-ARB,2022-01-12,Surface,0.000282,1.25E-06,3.32E-08
UM-ARB,2022-01-12,Surface,0.000884,8.74E-05,1.39E-07
UM-ARB,2022-01-12,Surface,0.000867,9.67E-05,1.17E-07
UM-ARB,2022-01-12,Surface,0.000877,9.98E-05,1.09E-07
OPP-E,2022-01-12,Surface,0.000159,3.78E-07,2.14E-08
OPP-E,2022-01-12,Surface,0.000148,2.56E-07,2.10E-08
OPP-E,2022-01-12,Surface,0.00014,2.66E-07,2.08E-08
OPP-W,2022-01-12,Surface,0.000431,8.96E-07,1.24E-07
OPP-W,2022-01-12,Surface,0.000416,8.85E-07,1.21E-07
OPP-W,2022-01-12,Surface,0.000394,1.19E-06,1.32E-07
L60-UW,2022-01-13,Surface,0.000382,1.57E-05,1.06E-08
L60-UW,2022-01-13,Surface,0.000389,1.70E-05,1.05E-08
L60-UW,2022-01-13,Surface,0.000387,1.54E-05,1.06E-08
ALC,2022-01-13,Surface,0.000203,1.13E-05,1.92E-08
ALC,2022-01-13,Surface,2.00E-04,1.11E-05,1.94E-08
ALC,2022-01-13,Surface,0.000195,1.05E-05,1.90E-08
DCSW1,2022-01-13,Surface,5.10E-05,1.64E-06,2.21E-08
DCSW1,2022-01-13,Surface,5.28E-05,1.64E-06,2.24E-08
DCSW1,2022-01-13,Surface,5.21E-05,1.73E-06,2.21E-08
DCSW2,2022-01-13,Surface,4.30E-05,8.96E-06,3.55E-08
DCSW2,2022-01-13,Surface,4.35E-05,8.61E-06,3.56E-08
DCSW2,2022-01-13,Surface,4.46E-05,9.29E-06,3.35E-08
DCSW3,2022-01-13,Surface,1.46E-05,6.84E-07,2.30E-08
DCSW3,2022-01-13,Surface,1.09E-05,8.41E-07,2.17E-08
DCSW3,2022-01-13,Surface,1.70E-05,6.71E-07,2.28E-08
CAP,2022-01-13,Surface,0.000229,3.48E-06,3.72E-09
CAP,2022-01-13,Surface,0.000235,2.68E-06,3.78E-09
CAP,2022-01-13,Surface,0.000222,4.27E-06,3.67E-09
DOBA5,2022-01-13,Surface,2.97E-06,4.21E-06,2.06E-08
DOBA5,2022-01-13,Surface,2.81E-07,5.80E-06,2.07E-08
DOBA5,2022-01-13,Surface,-1.28E-06,4.87E-06,2.14E-08
DOBA4,2022-01-13,Surface,1.80E-05,3.42E-06,1.34E-08
DOBA4,2022-01-13,Surface,2.48E-05,3.03E-06,1.32E-08
DOBA4,2022-01-13,Surface,2.22E-05,3.30E-06,1.32E-08
KP,2022-01-14,Surface,0.00144,0.000351,-1.81E-10
KP,2022-01-14,Surface,0.00142,0.000345,-6.24E-10
KP,2022-01-14,Surface,0.00142,0.000325,-9.30E-10
MDT,2022-01-14,Surface,5.06E-06,8.17E-07,1.83E-08
MDT,2022-01-14,Surface,6.59E-06,3.41E-07,1.84E-08
MDT,2022-01-14,Surface,2.57E-06,2.36E-07,1.79E-08
ELV,2022-01-14,Surface,1.31E-05,1.69E-06,3.02E-08
ELV,2022-01-14,Surface,1.18E-05,2.11E-06,3.05E-08
ELV,2022-01-14,Surface,1.25E-05,1.90E-06,2.99E-08
O-N,2022-01-14,Surface,8.89E-05,1.79E-07,1.88E-07
O-N,2022-01-14,Surface,9.08E-05,4.02E-07,1.75E-07
O-N,2022-01-14,Surface,9.39E-05,4.75E-07,1.72E-07
O-S,2022-01-14,Surface,6.91E-05,1.42E-06,4.10E-08
O-S,2022-01-14,Surface,6.89E-05,1.53E-06,4.02E-08
O-S,2022-01-14,Surface,6.99E-05,1.56E-06,4.01E-08
DOBA7,2022-01-14,Surface,-2.69E-06,4.11E-06,4.36E-08
DOBA7,2022-01-14,Surface,-2.74E-06,4.20E-06,4.37E-08
DOBA7,2022-01-14,Surface,8.62E-07,6.70E-06,4.42E-08
DOBA8,2022-01-14,Surface,8.48E-05,7.03E-07,2.97E-08
DOBA8,2022-01-14,Surface,9.81E-05,1.58E-06,3.27E-08
DOBA8,2022-01-14,Surface,9.41E-05,1.45E-06,3.16E-08
HP-UW,2022-01-31,Surface,0.000136,2.82E-06,7.50E-08
HP-UW,2022-01-31,Surface,0.000138,3.05E-06,7.63E-08
HP-UW,2022-01-31,Surface,0.00014,2.87E-06,7.56E-08
L60-UW,2022-01-31,Surface,0.000575,5.11E-05,-1.17E-09
L60-UW,2022-01-31,Surface,0.000586,5.13E-05,-5.38E-10
L60-UW,2022-01-31,Surface,0.000592,5.37E-05,-1.64E-09
LM-ARB,2022-01-31,Surface,0.000829,2.66E-05,9.31E-09
LM-ARB,2022-01-31,Surface,0.000838,2.57E-05,9.98E-09
LM-ARB,2022-01-31,Surface,0.000821,2.65E-05,9.81E-09
UM-ARB,2022-01-31,Surface,0.00107,0.000156,3.84E-09
UM-ARB,2022-01-31,Surface,0.00104,0.000147,5.93E-09
UM-ARB,2022-01-31,Surface,0.00107,0.000149,4.86E-09
OPP-E,2022-01-31,Surface,0.000345,4.77E-07,1.74E-08
OPP-E,2022-01-31,Surface,0.000343,2.64E-07,1.85E-08
OPP-E,2022-01-31,Surface,0.000338,3.39E-07,1.88E-08
OPP-W,2022-01-31,Surface,0.000591,3.80E-07,3.19E-07
OPP-W,2022-01-31,Surface,0.000578,5.14E-07,3.12E-07
OPP-W,2022-01-31,Surface,0.000587,4.08E-07,3.13E-07
ALC,2022-01-27,Surface,0.000444,6.88E-06,8.48E-09
ALC,2022-01-27,Surface,0.000454,7.17E-06,7.09E-09
ALC,2022-01-27,Surface,0.000442,7.18E-06,7.47E-09
DCSW1,2022-01-27,Surface,0.000197,3.88E-07,2.02E-08
DCSW1,2022-01-27,Surface,0.000197,3.60E-07,2.00E-08
DCSW1,2022-01-27,Surface,0.000193,3.60E-07,2.02E-08
DCSW2,2022-01-27,Surface,0.000162,1.54E-05,2.91E-08
DCSW2,2022-01-27,Surface,0.000158,1.54E-05,2.81E-08
DCSW2,2022-01-27,Surface,0.000166,1.34E-05,2.97E-08
DCSW3,2022-01-27,Surface,5.25E-05,1.75E-06,2.04E-08
DCSW3,2022-01-27,Surface,4.89E-05,1.58E-06,2.08E-08
DCSW3,2022-01-27,Surface,5.06E-05,1.65E-06,2.04E-08
CAP,2022-01-27,Surface,0.000394,3.90E-05,-2.39E-09
CAP,2022-01-27,Surface,0.000403,3.91E-05,-2.50E-09
CAP,2022-01-27,Surface,0.000383,3.81E-05,-1.75E-09
DOBA5,2022-01-27,Surface,0.000314,5.79E-05,-2.16E-09
DOBA5,2022-01-27,Surface,0.000311,5.65E-05,-1.79E-09
DOBA5,2022-01-27,Surface,0.000306,6.72E-05,-2.38E-09
DOBA4,2022-01-27,Surface,0.000234,4.19E-06,6.67E-09
DOBA4,2022-01-27,Surface,0.000217,4.52E-06,7.57E-09
DOBA4,2022-01-27,Surface,0.00025,2.96E-06,7.42E-09
KP,2022-01-30,Surface,0.00265,0.000712,-1.84E-09
KP,2022-01-30,Surface,0.00264,0.000754,-2.76E-09
KP,2022-01-30,Surface,0.00269,0.000746,-2.38E-09
ELV,2022-01-30,Surface,6.46E-05,6.06E-06,2.61E-08
ELV,2022-01-30,Surface,6.43E-05,4.80E-06,2.61E-08
ELV,2022-01-30,Surface,5.80E-05,6.14E-06,2.68E-08
MDT,2022-01-30,Surface,0.000115,3.60E-07,1.73E-08
MDT,2022-01-30,Surface,0.000118,4.21E-07,1.72E-08
MDT,2022-01-30,Surface,0.000117,3.34E-07,1.80E-08
O-N,2022-01-30,Surface,4.97E-05,5.34E-07,2.16E-07
O-N,2022-01-30,Surface,5.45E-05,1.14E-06,2.21E-07
O-N,2022-01-30,Surface,5.21E-05,8.39E-07,2.11E-07
O-S,2022-01-30,Surface,0.000162,3.88E-07,7.06E-08
O-S,2022-01-30,Surface,0.000171,5.84E-07,7.51E-08
O-S,2022-01-30,Surface,0.000168,4.34E-07,7.40E-08
DOBA7,2022-01-31,Surface,7.40E-05,6.66E-05,6.33E-08
DOBA7,2022-01-31,Surface,7.37E-05,6.43E-05,6.38E-08
DOBA7,2022-01-31,Surface,6.25E-05,6.93E-05,6.31E-08
DOBA8,2022-01-30,Surface,0.000327,2.72E-06,1.51E-08
DOBA8,2022-01-30,Surface,0.000324,2.26E-06,1.56E-08
DOBA8,2022-01-30,Surface,0.00032,2.97E-06,1.52E-08
HP-UW,2022-02-09,Surface,0.000118,3.46E-06,7.44E-08
HP-UW,2022-02-09,Surface,0.000123,2.76E-06,7.92E-08
HP-UW,2022-02-09,Surface,0.000119,4.14E-06,7.48E-08
L60-UW,2022-02-09,Surface,0.000591,7.76E-05,-1.14E-09
L60-UW,2022-02-09,Surface,0.000586,8.24E-05,-1.59E-09
L60-UW,2022-02-09,Surface,0.000581,7.69E-05,-1.05E-09
ALC,2022-02-09,Surface,0.000585,0.000125,-1.62E-09
ALC,2022-02-09,Surface,0.00058,0.000122,-1.17E-09
ALC,2022-02-09,Surface,0.000591,0.000124,-1.37E-09
DOBA5,2022-02-09,Surface,0.000237,1.11E-05,-1.00E-09
DOBA5,2022-02-09,Surface,0.000243,1.16E-05,-1.97E-09
DOBA5,2022-02-09,Surface,0.000201,1.13E-05,-2.28E-09
DOBA4,2022-02-09,Surface,0.000162,8.17E-06,3.74E-10
DOBA4,2022-02-09,Surface,0.000162,7.69E-06,7.61E-10
DOBA4,2022-02-09,Surface,0.000162,7.57E-06,1.34E-09
DCSW1,2022-02-09,Surface,0.00033,1.09E-06,1.59E-08
DCSW1,2022-02-09,Surface,0.000331,1.14E-06,1.58E-08
DCSW1,2022-02-09,Surface,0.000327,1.11E-06,1.56E-08
DCSW2,2022-02-09,Surface,0.000352,2.59E-05,2.54E-08
DCSW2,2022-02-09,Surface,0.000349,2.73E-05,2.51E-08
DCSW2,2022-02-09,Surface,0.000333,2.59E-05,2.37E-08
DCSW3,2022-02-09,Surface,9.35E-05,1.47E-06,1.44E-08
DCSW3,2022-02-09,Surface,9.83E-05,1.61E-06,1.43E-08
DCSW3,2022-02-09,Surface,9.44E-05,1.40E-06,1.42E-08
CAP,2022-02-09,Surface,0.000382,8.09E-05,-1.60E-09
CAP,2022-02-09,Surface,0.000384,8.30E-05,-1.51E-09
CAP,2022-02-09,Surface,0.000384,8.13E-05,-1.22E-09
KP,2022-02-10,Surface,0.00311,0.000965,-1.92E-09
KP,2022-02-10,Surface,0.00309,0.00103,-3.42E-09
KP,2022-02-10,Surface,0.00311,0.000989,-3.27E-09
O-S,2022-02-10,Surface,0.000203,1.16E-06,6.47E-08
O-S,2022-02-10,Surface,0.000192,1.19E-06,6.46E-08
O-S,2022-02-10,Surface,0.000187,1.12E-06,6.26E-08
O-N,2022-02-10,Surface,6.24E-05,8.80E-07,2.22E-07
O-N,2022-02-10,Surface,6.13E-05,7.64E-07,2.22E-07
O-N,2022-02-10,Surface,6.04E-05,7.43E-07,2.23E-07
MDT,2022-02-10,Surface,0.000121,9.46E-07,1.19E-08
MDT,2022-02-10,Surface,0.000117,6.25E-07,1.25E-08
MDT,2022-02-10,Surface,0.000121,6.64E-07,1.25E-08
DOBA8,2022-02-10,Surface,0.000346,1.65E-05,-2.03E-09
DOBA8,2022-02-10,Surface,0.000344,1.60E-05,-2.02E-09
DOBA8,2022-02-10,Surface,0.000342,1.61E-05,-7.89E-10
ELV,2022-02-10,Surface,1.28E-05,4.16E-05,2.53E-08
ELV,2022-02-10,Surface,1.41E-05,3.33E-05,2.52E-08
ELV,2022-02-10,Surface,1.14E-05,4.99E-05,2.54E-08
LM-ARB,2022-02-11,Surface,0.000315,8.97E-06,2.25E-08
LM-ARB,2022-02-11,Surface,0.000301,8.84E-06,2.30E-08
LM-ARB,2022-02-11,Surface,0.000321,9.13E-06,2.31E-08
UM-ARB,2022-02-11,Surface,0.00117,0.000207,5.74E-08
UM-ARB,2022-02-11,Surface,0.00118,0.000193,6.19E-08
UM-ARB,2022-02-11,Surface,0.00117,0.000208,6.17E-08
OPP-W,2022-02-11,Surface,0.000651,3.52E-05,-1.23E-09
OPP-W,2022-02-11,Surface,0.000647,3.52E-05,-1.30E-09
OPP-W,2022-02-11,Surface,0.000592,3.06E-05,1.96E-09
OPP-E,2022-02-11,Surface,0.00033,3.95E-06,1.18E-09
OPP-E,2022-02-11,Surface,0.000327,4.54E-06,1.34E-09
OPP-E,2022-02-11,Surface,0.00033,4.69E-06,8.78E-10
DOBA7,2022-02-11,Surface,0.000178,0.00012,5.98E-08
DOBA7,2022-02-11,Surface,0.000177,0.000132,6.00E-08
DOBA7,2022-02-11,Surface,0.000176,0.00013,6.01E-08