code,pond,date,round,NH4,NO2_NO3,SRP
W1,ALC,2022-01-13,1,63.848,8.541,10.391
W2,CAP,2022-01-13,1,13.017,4.18,155.186
W3,DCSW1,2022-01-13,1,19.063,14.981,2.644
W4,DCSW2,2022-01-13,1,101.353,152.181,10.351
W5,DCSW3,2022-01-13,1,14.988,113.86,8.255
W6,DOBA4,2022-01-13,1,17.002,2.456,4.523
W7,DOBA5,2022-01-13,1,314.453,9.917,76.606
W8,DOBA7,2022-01-14,1,34.193,82.624,2.943
W9,DOBA8,2022-01-14,1,412.48,167.66,40.731
W10,ELV,2022-01-14,1,97.815,86.186,13.974
W11,HP-UW,2022-01-12,1,65.733,1755.207,1.169
W12,KP,2022-01-14,1,24.985,9.355,31.045
W13,L60-UW,2022-01-13,1,17.64,6.725,8.737
W14,LM-ARB,2022-01-12,1,429.069,125.128,16.825
W15,MDT,2022-01-14,1,21.583,19.863,15.353
W16,O-N,2022-01-14,1,100.265,1074.249,1.45
W17,O-S,2022-01-14,1,40.066,174.008,3.764
W18,OPP-E,2022-01-12,1,548.112,60.097,25.585
W19,OPP-W,2022-01-12,1,222.402,13.971,76.294
W20,UM-ARB,2022-01-12,1,293.545,146.883,16.366
W21,ALC,2022-01-27,2,66.97,16.06,5.153
W22,CAP,2022-01-27,2,24.086,3.046,103.737
W23,DCSW1,2022-01-27,2,171.554,40.906,4.6
W24,DCSW2,2022-01-27,2,194.792,96.451,13.047
W25,DCSW3,2022-01-27,2,69.541,76.687,7.905
W26,DOBA4,2022-01-27,2,36.365,4.725,26.839
W27,DOBA5,2022-01-27,2,792.261,4.891,94.333
W28,DOBA7,2022-01-31,2,135.638,94.844,6.166
W29,DOBA8,2022-01-30,2,636.464,132.561,23.025
W30,ELV,2022-01-30,2,103.32,82.936,25.333
W31,HP-UW,2022-01-31,2,78.165,1674.41,0.895
W32,KP,2022-01-30,2,780.96,14.687,50.096
W33,L60-UW,2022-01-31,2,15.949,10.881,9.948
W34,LM-ARB,2022-01-31,2,557.806,40.02,4.778
W35,MDT,2022-01-30,2,92.995,7.905,14.51
W36,O-N,2022-01-30,2,46.827,1158.998,2.124
W37,O-S,2022-01-30,2,21.966,296.633,4.196
W38,OPP-E,2022-01-31,2,1048.83,28.244,47.889
W39,OPP-W,2022-01-31,2,292.294,56.141,45.736
W40,UM-ARB,2022-01-31,2,446.221,64.143,4.045
W41,ALC,2022-02-09,3,330.097,5.536,1.633
W42,CAP,2022-02-09,3,32.673,3.883,66.985
W43,DCSW1,2022-02-09,3,407.339,41.459,3.695
W44,DCSW2,2022-02-09,3,544.376,78.993,4.594
W45,DCSW3,2022-02-09,3,204.359,73.603,5.461
W46,DOBA4,2022-02-09,3,55.818,47.815,54.767
W47,DOBA5,2022-02-09,3,719.164,4.8,54.893
W48,DOBA7,2022-02-11,3,388.959,186.972,3.028
W49,DOBA8,2022-02-10,3,745.798,50.276,21.484
W50,ELV,2022-02-10,3,17.84,70.214,11.464
W51,HP-UW,2022-02-09,3,47.537,1755.655,0.746
W52,KP,2022-02-10,3,2008.319,13.778,7.34
W53,L60-UW,2022-02-09,3,22.482,26.553,5.56
W54,LM-ARB,2022-02-11,3,568.942,90.638,1.823
W55,MDT,2022-02-10,3,62.196,12.446,27.393
W56,O-N,2022-02-10,3,17.898,951.925,1.402
W57,O-S,2022-02-10,3,21.881,278.107,2.165
W58,OPP-E,2022-02-11,3,913.025,8.616,12.981
W59,OPP-W,2022-02-11,3,319.599,12.276,18.041
W60,UM-ARB,2022-02-11,3,472.55,227.635,1.901
S1,OPP-E,2021-06-02,1,17.015,3.201,9.205
S2,OPP-W,2021-06-02,1,27.947,3.854,15.886
S3,DOBA7,2021-06-02,1,14.553,2.565,5.148
S4,LM-ARB,2021-06-03,1,31.976,11.284,14.882
S5,UM-ARB,2021-06-03,1,16.911,-0.048,10.473
S6,DOBA5,2021-06-07,1,1095.522,17.967,22.66
S7,DOBA4,2021-06-07,1,56.321,-0.208,5.761
S8,CAP,2021-06-07,1,49.023,-2.409,21.142
S9,ALC,2021-06-08,1,12.418,-0.846,16.631
S10,ELV,2021-06-08,1,8.079,-2.936,4.073
S11,DCSW1,2021-06-09,1,27.663,69.436,48.224
S12,DCSW2,2021-06-09,1,18.939,23.261,7.927
S13,DCSW3,2021-06-09,1,10.345,1.684,55.506
S14,DOBA8,2021-06-10,1,52.727,1.83,6.775
S15,MDT,2021-06-10,1,8.363,1.091,20.041
S16,HP-UW,2021-06-10,1,118.23,1169.571,-0.017
S17,L60-UW,2021-06-11,1,109.102,1.11,26.813
S18,KP,2021-06-11,1,10.241,1.461,75.456
S19,O-S,2021-06-11,1,7.287,1.026,5.219
S20,O-N,2021-06-11,1,12.836,1.599,4.101
S41,OPP-W,2021-06-29,3,56.81,11.122,65.152
S42,OPP-E,2021-06-29,3,36.132,2.785,8.233
S43,DOBA7,2021-06-29,3,71.953,65.474,7.886
S44,HP-UW,2021-06-29,3,101.204,553.286,7.231
S45,DOBA8,2021-06-30,3,28.782,8.515,29.341
S46,ELV,2021-06-30,3,53.918,73.135,28.684
S47,MDT,2021-06-30,3,8.324,25.762,6.028
S48,UM-ARB,2021-06-30,3,13.736,2.605,35.025
S49,LM-ARB,2021-06-30,3,8.564,1.543,30.673
S50,DCSW2,2021-07-01,3,17.813,228.582,34.508
S51,DCSW1,2021-07-01,3,13.334,19.515,40.163
S52,CAP,2021-07-01,3,6.52,2.159,9.219
S53,DOBA4,2021-07-01,3,4.621,2.647,6.992
S54,DCSW3,2021-07-01,3,79.78,77.444,58.56
S55,DOBA5,2021-07-01,3,170.883,91.609,12.225
S56,O-N,2021-07-01,3,13.266,2.75,5.281
S57,O-S,2021-07-01,3,10.878,4.146,8.536
S58,KP,2021-07-02,3,12.141,2.416,58.672
S59,L60-UW,2021-07-02,3,8.902,1.664,18.143
S60,ALC,2021-07-02,3,8.927,1.155,48.406
S81,UM-ARB,2021-08-02,5,26.459,2.864,6.623
S82,LM-ARB,2021-08-02,5,35.834,2.685,8.863
S83,ALC,2021-08-02,5,19.015,4.66,15.43
S84,OPP-E,2021-08-03,5,18.593,3.566,15.992
S85,OPP-W,2021-08-03,5,13.995,3.924,55.976
S86,DOBA7,2021-08-03,5,11.245,1.157,8.638
S87,ELV,2021-08-03,5,20.382,1.977,11.597
S88,KP,2021-08-03,5,17.927,1.452,62.224
S89,O-N,2021-08-03,5,11.087,1.205,5.598
S90,O-S,2021-08-03,5,7.617,1.197,11.695
S91,DCSW1,2021-08-04,5,10.024,1.03,3.758
S92,DCSW2,2021-08-04,5,16.45,3.194,7.091
S93,DCSW3,2021-08-04,5,12.557,1.469,10.71
S94,DOBA4,2021-08-04,5,13.537,2.78,8.239
S95,DOBA5,2021-08-04,5,28.03,1.493,4.611
S96,CAP,2021-08-04,5,17.428,1.127,2.703
S97,L60-UW,2021-08-05,5,195.667,2.05,9.804
S98,HP-UW,2021-08-05,5,77.49,901.794,0.688
S99,DOBA8,2021-08-05,5,17.665,7.617,4.898
S100,MDT,2021-08-05,5,7.181,0.742,3.894