Date,Pond,TSS_gL,POM_gL,OM_perc
2021-06-02,OPP-E,0.0446,0.012,25.98
2021-06-02,OPP-W,0.0197,0.013,66.13
2021-06-02,DOBA7,0.0049,0.003,61.11
2021-06-03,UM-ARB,0.0325,0.02,62.31
2021-06-03,LM-ARB,0.0194,0.012,60.87
2021-06-07,DOBA4,0.0205,0.014,68.29
2021-06-07,DOBA5,0.0087,0.006,71.43
2021-06-07,CAP,0.0053,0.004,79.25
2021-06-08,ELV,0.0074,0.005,68.57
2021-06-08,ALC,0.0069,0.004,56.14
2021-06-09,DCSW1,0.0015,0.001,80
2021-06-09,DCSW3,0.0013,0.001,84.62
2021-06-09,DCSW2,0.0029,0.002,68.97
2021-06-10,MDT,0.0025,0.002,88
2021-06-10,HP-UW,0.0184,0.009,47.78
2021-06-10,DOBA8,0.0035,0.002,60
2021-06-11,O-N,0.0332,0.014,41.84
2021-06-11,O-S,0.0162,0.006,39.73
2021-06-11,L60-UW,0.0057,0.003,56.1
2021-06-11,KP,0.0183,0.015,81.25
2021-06-14,DOBA7,0.0255,0.016,62.5
2021-06-14,OPP-W,0.0156,0.013,85.71
2021-06-14,OPP-E,0.0168,0.013,78.57
2021-06-15,LM-ARB,0.0537,0.025,47.06
2021-06-15,ALC,0.0129,0.009,72.92
2021-06-15,UM-ARB,0.0611,0.03,49.14
2021-06-16,CAP,0.0112,0.01,87.5
2021-06-16,DOBA5,0.0047,0.004,89.36
2021-06-16,DOBA4,0.0211,0.015,71.79
2021-06-17,MDT,0.0097,0.008,83.93
2021-06-17,DOBA8,0.0038,0.006,2.52
2021-06-17,ELV,0.012,0.008,68.33
2021-06-18,HP-UW,0.0158,0.005,33.68
2021-06-18,L60-UW,0.0049,0.002,48.98
2021-06-21,DCSW3,0.0051,0.004,70.73
2021-06-21,DCSW2,0.0096,0.007,70.69
2021-06-21,DCSW1,0.0017,0.001,64.71
2021-06-22,KP,0.0557,0.046,83.33
2021-06-22,O-S,0.0156,0.006,36.84
2021-06-22,O-N,0.0254,0.009,33.61
2021-06-29,OPP-W,0.0211,0.018,83.78
2021-06-29,HP-UW,0.007,0.003,42.86
2021-06-29,OPP-E,0.0312,0.021,67.19
2021-06-29,DOBA7,0.0296,0.013,44.16
2021-06-30,ELV,0.0092,0.005,50
2021-06-30,UM-ARB,0.0317,0.023,71.58
2021-06-30,LM-ARB,0.0177,0.011,60.38
2021-06-30,MDT,0.0088,0.008,89.66
2021-06-30,DOBA8,0.0088,0.007,83.02
2021-07-01,DCSW2,0.0068,0.004,54
2021-07-01,DCSW3,0.0026,0.002,57.69
2021-07-01,DOBA4,0.0161,0.012,72.41
2021-07-01,CAP,0.0065,0.005,72.31
2021-07-01,DCSW1,0.0046,0.003,65.22
2021-07-01,DOBA5,0.0114,0.009,83.54
2021-07-02,O-N,0.0343,0.012,35.19
2021-07-02,O-S,0.0241,0.008,32.53
2021-07-02,ALC,0.017,0.013,76.47
2021-07-02,L60-UW,0.0072,0.006,77.78
2021-07-02,KP,0.0297,0.022,75.51
2021-07-12,OPP-W,0.0586,0.05,85.37
2021-07-12,OPP-E,0.0369,0.027,73.61
2021-07-12,DOBA7,0.0316,0.019,59.15
2021-07-13,LM-ARB,0.0337,0.017,51.49
2021-07-13,L60-UW,0.0187,0.015,80.36
2021-07-13,UM-ARB,0.0312,0.019,61.17
2021-07-14,O-N,0.0222,0.013,59.02
2021-07-14,O-S,0.0074,0.003,39.19
2021-07-14,KP,0.0819,0.073,89.31
2021-07-16,DOBA4,0.0257,0.02,77.78
2021-07-16,DOBA5,0.0258,0.023,90.7
2021-07-16,CAP,0.0044,0.003,65.22
2021-07-19,DCSW1,0.003,0.003,86.67
2021-07-19,DCSW3,0.0039,0.003,79.49
2021-07-19,DCSW2,0.0071,0.006,78.87
2021-07-20,MDT,0.0108,0.01,90.7
2021-07-20,DOBA8,0.0108,0.008,77.78
2021-07-20,ELV,0.0082,0.006,78.05
2021-07-21,ALC,0.0187,0.013,69.05
2021-07-21,HP-UW,0.008,0.004,47.5
2021-07-26,L60-UW,0.01,0.008,80
2021-07-26,HP-UW,0.0116,0.005,39.77
2021-07-26,ELV,0.0067,0.005,69.05
2021-07-26,DOBA8,0.0112,0.01,89.29
2021-07-26,MDT,0.0084,0.007,81.82
2021-07-27,KP,0.0333,0.025,74
2021-07-27,DOBA7,0.0369,0.021,55.56
2021-07-27,ALC,0.0159,0.01,62.22
2021-07-27,O-S,0.0132,0.006,43.12
2021-07-27,O-N,0.0418,0.019,46.41
2021-07-29,CAP,0.0114,0.008,68.42
2021-07-29,DCSW1,0.0036,0.003,75
2021-07-29,DCSW2,0.0166,0.01,57.36
2021-07-29,DCSW3,0.0153,0.011,71.74
2021-07-29,DOBA4,0.075,0.056,74.67
2021-07-29,DOBA5,0.0388,0.032,82.54
2021-07-30,UM-ARB,0.0431,0.021,48.8
2021-07-30,LM-ARB,0.0188,0.014,72.37
2021-07-30,OPP-E,0.0416,0.032,76.62
2021-07-30,OPP-W,0.0321,0.028,86.67
2021-08-02,LM-ARB,0.043,0.028,65.12
2021-08-02,UM-ARB,0.0388,0.025,64.52
2021-08-02,ALC,0.0225,0.017,77.5
2021-08-03,OPP-E,0.0571,0.049,86.25
2021-08-03,OPP-W,0.0458,0.041,90.14
2021-08-03,DOBA7,0.035,0.024,68.57
2021-08-03,O-S,0.0438,0.025,57.33
2021-08-03,O-N,0.0479,0.039,80.45
2021-08-03,ELV,0.0104,0.008,79.49
2021-08-03,KP,0.0436,0.022,50
2021-08-04,DCSW3,0.0057,0.005,89.47
2021-08-04,DOBA4,0.03,0.026,88.1
2021-08-04,DOBA5,0.0679,0.063,92.88
2021-08-04,DCSW2,0.01,0.008,79
2021-08-04,DCSW1,0.0059,0.005,84.44
2021-08-04,CAP,0.007,0.005,77.14
2021-08-05,L60-UW,0.021,0.015,69.05
2021-08-05,DOBA8,0.0143,0.013,89.47
2021-08-05,MDT,0.0087,0.008,95.24
2021-08-05,HP-UW,0.0068,0.003,44.12