sampledate,pond_name,pond_id,Zmax,AirTemp,AirPressure,Secchi_Up,Secchi_Down
6/2/21,Owen Park Pond West,OPP-W,2.25,25.1,0.969,0.15,0.15
6/2/21,Owen Park Pond East,OPP-E,1.5,24.2,0.97,0.28,0.3
6/2/21,Dobson A7 Pond,DOBA7,1.75,26.4,0.966,0.35,0.35
6/3/21,Manitow Lower pond,LM-ARB,0.4,23.8,0.968,0.3,0.35
6/3/21,Manitow Upper Pond,UM-ARB,0.98,23.2,0.968,0.25,0.3
6/7/21,Commercial Ave Pond,CAP,1.25,23.3,0.967,0.5,0.65
6/7/21,Dobson A4,DOBA4,1.65,26.5,0.966,0.1,0.15
6/7/21,DobsonA5,DOBA5,1.95,24.9,0.967,0.55,0.7
6/8/21,Allient Center Pond,ALC,0.8,24.7,0.974,0.75,0.75
6/8/21,Elver Pond,ELV,3,25,0.968,0.6,0.75
6/9/21,Door county Storm Water 1,DCSW1,1.75,25,0.973,1.75,1.75
6/9/21,Door county Storm Water 2,DCSW2,1.75,28,0.973,1.3,1.5
6/9/21,Door county Storm Water 3,DCSW3,2,26.3,0.973,1.56,1.56
6/10/21,Midtown Pond,MDT,1.4,23.3,0.96,,1.4
6/10/21,Dobson A8,DOBA8,1.85,25.6,0.964,1.1,1.25
6/10/21,Hospital Pond - UW,HP-UW,1.8,27.3,0.971,0.3,0.4
6/11/21,Kettle Pond,KP,1.1,26.8,0.966,0.3,0.4
6/11/21,Orchid South,O-S,1.1,26.6,0.967,0.5,0.6
6/11/21,Orchid North,O-N,1.15,31.7,0.967,0.25,0.3
6/11/21,Lot 60 - UW,L60-UW,1.15,27.2,0.967,0.9,0.9
6/14/21,Dobson A7 Pond,DOBA7,1.48,20.9,0.967,0.3,0.4
6/14/21,Owen Park Pond - West,OPP-W,2.5,23,0.97,0.25,0.3
6/14/21,Owen Park Pond - East,OPP-E,1.3,21.7,0.97,0.3,0.4
6/15/21,Allient center Pond,ALC,0.75,24.3,0.976,0.5,0.55
6/15/21,Lower Manitow Pond,LM-ARB,0.64,18.5,0.977,0.15,0.2
6/15/21,Upper Manitow Pond,UM-ARB,1.2,21.4,0.976,0.12,0.15
6/16/21,Dobson A5,DOBA5,2.15,21.2,0.967,0.32,0.35
6/16/21,Dobson A4,DOBA4,1.5,19.4,0.974,0.3,0.4
6/16/21,Commercial Ave Pond,CAP,1.2,22.5,0.975,0.3,0.35
6/17/21,Dobson A8,DOBA8,1.95,20.8,0.963,0.98,0.9
6/17/21,Midtown Pond,MDT,1.3,25.2,0.964,0.55,0.65
6/17/21,Elver Pond,ELV,2.5,23.9,0.965,0.45,0.5
6/18/21,Hospital Pond - UW,HP-UW,1.88,24.1,0.966,0.45,0.45
6/18/21,Lot 60 - UW,L60-UW,1.25,22.9,0.966,0.8,0.8
6/21/21,Door county Storm Water - 3,DCSW3,2.25,18.9,0.962,0.8,0.8
6/21/21,Door county Storm Water 2,DCSW2,1.73,16.4,0.963,0.6,0.65
6/21/21,Door county Storm Water 1,DCSW1,1.98,17.3,0.964,1.6,1.6
6/22/21,Kettle Pond,KP,1.25,20.9,0.969,0.28,0.3
6/22/21,Orchid South,O-S,1.2,19.6,0.972,0.3,0.4
6/22/21,Orchid North,O-N,1.15,17.7,0.972,0.25,0.3
6/29/21,Owen Park Pond West,OPP-W,2.75,22.6,0.976,0.35,0.4
6/29/21,Owen Park Pond East,OPP-E,2,21.6,0.974,0.27,0.3
6/29/21,Dobson A7 Pond,DOBA7,2.1,21.7,0.971,0.4,0.4
6/29/21,Hospital Pond - UW,HP-UW,2.1,21.7,0.977,0.65,0.7
6/30/21,Dobson A8 Pond,DOBA8,2.3,24.8,0.968,0.7,0.8
6/30/21,Elver Pond,ELV,3,23.8,0.97,0.65,0.75
6/30/21,Midtown Pond,MDT,1.75,22.6,0.969,0.7,0.75
6/30/21,Upper Manitow Pond,UM-ARB,0.85,26.4,0.975,0.25,0.3
6/30/21,Lower Manitow Pond,LM-ARB,0.98,26.7,0.975,0.25,0.3
7/1/21,Door county Storm Water 2,DCSW2,1.7,22.3,0.974,0.8,0.85
7/1/21,Door county Storm Water 1,DCSW1,2.2,22.8,0.974,1.1,1.15
7/1/21,Commercial Ave Pond,CAP,1.5,23.1,0.972,0.85,0.9
7/1/21,Dobson A 4,DOBA4,1.6,22.6,0.972,0.35,0.4
7/1/21,Door county Storm Water 3,DCSW3,2,21.2,0.974,1.75,1.8
7/1/21,Dobson A 5,DOBA5,2.1,24.1,0.973,1,1.1
7/1/21,Orchard North,O-N,1.2,20.4,0.977,0.28,0.3
7/1/21,Orchard South,O-S,1.2,21.1,0.977,0.4,0.5
7/2/21,Kettle Pond,KP,1.15,20.3,0.975,0.3,0.4
7/2/21,Lot 60 - UW,L60-UW,1.15,24.7,0.977,0.6,0.7
7/2/21,Allient center Pond,ALC,0.78,19.8,0.975,0.4,0.5
7/7/21,Dobson A 7,DOBA7,1.6,22.1,0.964,0.3,0.45
7/7/21,Kettle Pond,KP,1.25,22.4,0.968,0.25,0.28
7/7/21,Hospital Pond - University of Wisconsin,HP-UW,1.65,23.3,0.969,0.72,0.5
7/7/21,Lot 60 - University of Wisconsin,L60-UW,1.1,23.2,0.964,0.25,0.3
7/8/21,Elver Pond,ELV,3,15.7,0.967,0.5,0.6
7/8/21,Commercial Ave Pond,CAP,1.5,18.2,0.97,0.55,0.6
7/8/21,Lower Manitow Pond,LM-ARB,0.78,17.1,0.971,0.5,0.55
7/8/21,Upper Manitow Pond,UM-ARB,1.1,16,0.971,0.35,0.4
7/8/21,Midtown Pond,MDT,1.75,15.9,0.964,0.5,0.6
7/8/21,Dobson A 5 Pond,DOBA5,2,18.3,0.97,0.95,1.1
7/8/21,Dobson A 8 Pond,DOBA8,2.25,16.8,0.964,0.55,0.6
7/8/21,Allient center Pond,ALC,0.75,17.2,0.972,0.55,0.5
7/9/21,Door county storm water 1,DCSW1,2.15,23.4,0.973,0.75,0.8
7/9/21,Door county storm water 2,DCSW2,1.8,21.1,0.973,0.5,0.55
7/9/21,Door county storm water 3,DCSW3,1.8,20.8,0.972,1,1.1
7/9/21,Dobson A 4 pond,DOBA4,1.7,21.8,0.971,0.3,0.4
7/12/21,Dobson A7 Pond,DOBA7,1.75,20.6,0.969,0.28,0.3
7/12/21,Owen Park Pond West,OPP-W,2.75,19.7,0.971,0.22,0.3
7/12/21,Owen Park Pond East,OPP-E,1.78,20.8,0.971,0.25,0.3
7/13/21,Lower Manitow Pond,LM-ARB,0.7,21.1,0.974,0.25,0.27
7/13/21,Upper Manitow Pond,UM-ARB,0.8,20.7,0.973,0.28,0.3
7/13/21,Lot 60 - UW,L60-UW,1.22,23,0.974,0.4,0.5
7/14/21,Orchard South,O-S,1.15,23.2,0.974,0.6,0.65
7/14/21,Orchard North,O-N,1.1,24.1,0.974,0.4,0.45
7/14/21,Kettle Pond,KP,1,24,0.972,0.3,0.4
7/16/21,Commercial Ave Pond,CAP,1.76,23.7,0.972,1,1.1
7/16/21,Dobson A 4 Pond,DOBA4,1.75,21.7,0.971,0.3,0.35
7/16/21,Dobson A 5 Pond,DOBA5,2.1,22.2,0.971,0.55,0.6
7/19/21,Door county Storm Water 3,DCSW3,2.1,24.9,0.978,1.4,1.4
7/19/21,Door county Storm Water 1,DCSW1,1.85,22.4,0.978,1.4,1.5
7/19/21,Door county Storm Water 2,DCSW2,1.78,22.5,0.978,0.65,0.78
7/20/21,Midtown Pond,MDT,1.7,22.5,0.969,0.5,0.55
7/20/21,Dobson A8 Pond,DOBA8,2.1,23.2,0.968,0.55,0.55
7/20/21,Elver Pond,ELV,3.1,25.1,0.97,0.65,0.75
7/21/21,Allient center Pond,ALC,0.85,19.5,0.978,0.5,0.55
7/21/21,Hospital Pond,HP-UW,2.05,19.7,0.978,0.95,1
7/26/21,Midtown Pond,MDT,1.55,24.5,0.967,0.68,0.7
7/26/21,Dobson A8,DOBA8,1.9,24.4,0.967,0.55,0.6
7/26/21,lot 60,L60-UW,1.1,24.2,0.974,0.18,0.2
7/26/21,Hospital pond,HP-UW,1.9,23,0.974,0.72,0.75
7/26/21,Elver Pond,ELV,3.15,23.4,0.969,0.75,0.8
7/27/21,Ochard - North,O-N,1.15,21,0.976,0.28,0.3
7/27/21,Orchard - south,O-S,1.15,20.1,0.975,0.8,0.85
7/27/21,Kettle Pond,KP,1.25,21.2,0.976,0.41,0.45
7/27/21,Allient Energy Center Pond,ALC,0.8,20.4,0.973,0.28,0.3
7/27/21,Dobson A 7 Pond,DOBA7,1.7,19.5,0.968,0.25,0.28
7/29/21,Dobson A 4,DOBA4,1.65,24.6,0.968,0.25,0.28
7/29/21,Door county Storm Water 1,DCSW1,2.2,21.7,0.969,1.38,1.4
7/29/21,Door county Storm Water 2,DCSW2,1.8,22.4,0.969,0.75,0.78
7/29/21,Door County Storm Water 3,DCSW3,1.98,22.8,0.969,0.77,0.8
7/29/21,Commercial Ave Pond,CAP,1.15,25.5,0.968,0.5,0.5
7/29/21,Dobson A 5,DOBA5,1.77,25.3,0.968,0.25,0.3
7/30/21,Lower Manitow Pond,LM-ARB,0.99,19.6,0.979,0.28,0.3
7/30/21,Upper manitou pond,UM-ARB,1.1,21.4,0.979,0.3,0.31
7/30/21,Owen Park Pond - West,OPP-W,2.76,19.1,0.975,0.3,0.35
7/30/21,Owen Park Pond - East,OPP-E,1.55,19.7,0.975,0.24,0.26
8/2/21,Upper Manitou,UM-ARB,0.77,20.4,0.977,0.25,0.27
8/2/21,Lower Manitou,LM-ARB,1.1,21,0.978,0.15,0.18
8/2/21,Alient Energy Center Pond,ALC,0.78,18.9,0.979,0.35,0.4
8/3/21,Owen Park Pond - East,OPP-E,1.6,20.7,0.973,0.2,0.23
8/3/21,Owen Park Pond - West,OPP-W,2.75,19.5,0.972,0.29,0.3
8/3/21,Dobson A 7,DOBA7,1.5,23.5,0.97,0.25,0.26
8/3/21,Elver Pond,ELV,3.25,20.1,0.971,0.63,0.65
8/3/21,Kettle Pond,KP,1.2,24.1,0.973,0.35,0.35
8/3/21,Orchard North,O-N,1.1,23.4,0.975,0.5,0.5
8/3/21,Orchard South,O-S,1.1,22.7,0.975,0.55,0.58
8/4/21,Door county Storm Water 1,DCSW1,1.8,22.3,0.976,0.78,0.8
8/4/21,Door county Storm Water 2,DCSW2,1.5,22.6,0.976,0.75,0.8
8/4/21,Door county Storm Water 3,DCSW3,2.15,23,0.976,1.3,1.4
8/4/21,Dobson A 4,DOBA4,1.7,22.2,0.974,0.28,0.3
8/4/21,Dobson A5,DOBA5,2.1,21.4,0.975,0.23,0.25
8/4/21,Commercial Ave Pond,CAP,1.25,21.7,0.974,0.5,0.53
8/5/21,Lot 60 Pond - UW,L60-UW,1.15,23.3,0.974,0.35,0.35
8/5/21,Hospital Pond - UW,HP-UW,2.15,22.3,0.974,0.75,0.75
8/5/21,Midtown Pond,MDT,1.65,23.4,0.968,0.4,0.4
8/5/21,Dobson A 8,DOBA8,2.1,21.3,0.968,0.48,0.5