Pond,Date,avsnow,totice,blackice,whiteice,secchi
HP-UW,2022-01-12,0,7.5,7.25,0.25,1.5
LM-ARB,2022-01-12,0,24,16,8,0.45
OPP-E,2022-01-12,2.5,20,7,13,0.1
OPP-W,2022-01-12,3,12,8,4,0.15
UM-ARB,2022-01-12,2.75,14,10,4,0.5
ALC,2022-01-13,1.41,21,19,2,0.8
DOBA5,2022-01-13,1.5,14,12,2,0.4
DOBA4,2022-01-13,1.27,19,16,3,0.3
DCSW3,2022-01-13,1.3,20,17,3,1.1
DCSW1,2022-01-13,0.5,22,20,2,1.15
DCSW2,2022-01-13,1.6,19,17,3,1.25
CAP,2022-01-13,1.5,14,12.5,1.5,0.3
L60-UW,2022-01-13,0.15,20,17.5,2.5,0.9
ELV,2022-01-14,1.5,21,14,7,0.45
DOBA7,2022-01-14,0,25,20,5,0.45
MDT,2022-01-14,3,23,21,2,0.45
DOBA8,2022-01-14,3,18,14,4,0.95
O-S,2022-01-14,0,24,12,12,0.75
O-N,2022-01-14,0,19,14,5,0.55
KP,2022-01-14,2,20,15,5,0.1
ALC,2022-01-27,4.5,30.5,23.5,7,0.4
DOBA5,2022-01-27,8.1,21,16,5,0.7
DOBA4,2022-01-27,9,27.5,23,4.5,0.4
DCSW3,2022-01-27,8.9,28.5,25.5,3,1.15
DCSW1,2022-01-27,8,31.5,27.5,4,1.8
DCSW2,2022-01-27,8,27,24,3,1.2
CAP,2022-01-27,8.5,23.5,21,2.5,0.5
KP,2022-01-30,0,32,27,5,0.15
DOBA8,2022-01-30,11,23,20,3,1.25
ELV,2022-01-30,8,31,25.5,5.5,0.35
MDT,2022-01-30,8,31,25,6,0.45
O-N,2022-01-30,0,37,33.5,3.5,0.55
O-S,2022-01-30,6.5,35,29,6,0.35
UM-ARB,2022-01-31,3,25,16,9,0.5
LM-ARB,2022-01-31,0,42,22,20,0.6
OPP-W,2022-01-31,0,25,20,5,0.3
OPP-E,2022-01-31,10,25,19,6,0.4
DOBA7,2022-01-31,6,39,33,6,0.75
HP-UW,2022-01-31,6,22,21.5,0.5,1.45
L60-UW,2022-01-31,7.5,27,21,6,0.25
ALC,2022-02-09,2,33,30.5,2.5,0.5
DOBA5,2022-02-09,1.25,28,24,4,0.3
DOBA4,2022-02-09,1.75,33.5,31.5,2,0.12
DCSW3,2022-02-09,0.4,35,30.5,4.5,1.4
DCSW1,2022-02-09,1.15,37,34,3,2
DCSW2,2022-02-09,2,37,32,5,1.2
CAP,2022-02-09,0,33.5,29,4.5,0.25
HP-UW,2022-02-09,0.15,24,24,0,1.5
L60-UW,2022-02-09,0.5,35,33.5,1.5,0.3
MDT,2022-02-10,4,34.5,30,4.5,0.4
ELV,2022-02-10,4,36.4,32.6,3.8,0.4
KP,2022-02-10,6.5,36,29,7,0.1
O-S,2022-02-10,0,38,32.5,5.5,0.45
O-N,2022-02-10,3,33,27.5,5.5,0.5
DOBA8,2022-02-10,6.5,28.5,23.5,5,1.2
DOBA7,2022-02-11,0.1,43,38,5,0.25
OPP-W,2022-02-11,4,29.5,23.5,6,0.33
OPP-E,2022-02-11,6,28,24,4,0.33
UM-ARB,2022-02-11,0,30,22,8,0.5
LM-ARB,2022-02-11,0,47,29,18,0.5